food_id,food_name,category,processing_level,total_ingredients,healthy_ingredients_count,neutral_ingredients_count,unhealthy_ingredients_count,healthy_percentage,neutral_percentage,unhealthy_percentage,affected_health_conditions,overall_recommendation,description
1,Potato Chips,Snacks,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Obesity or Overweight",Avoid,Potato Chips is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
2,Nacho Chips,Snacks,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Obesity or Overweight",Avoid,Nacho Chips is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
3,Cheese Puffs,Snacks,Ultra-processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Cheese Puffs is a snacks item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
4,Salted Crackers,Snacks,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Obesity or Overweight",Avoid,Salted Crackers is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
5,Instant Noodles,Ready Meals,Ultra-processed,6,1,1,4,16.67,16.67,66.67,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Diabetes",Avoid,Instant Noodles is a ready meals item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
6,Cup Noodles,Ready Meals,Ultra-processed,6,1,1,4,16.67,16.67,66.67,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Diabetes",Avoid,Cup Noodles is a ready meals item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
7,Frozen Pizza,Frozen Foods,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Heart Disease, Obesity or Overweight, High Cholesterol",Avoid,Frozen Pizza is a frozen foods item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
8,Chicken Nuggets,Frozen Foods,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Heart Disease, Obesity or Overweight, High Cholesterol",Avoid,Chicken Nuggets is a frozen foods item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
9,Fish Fingers,Frozen Foods,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Heart Disease, Obesity or Overweight, High Cholesterol",Avoid,Fish Fingers is a frozen foods item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
10,French Fries (Frozen),Frozen Foods,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Heart Disease, Obesity or Overweight, High Cholesterol",Avoid,French Fries (Frozen) is a frozen foods item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
11,Packaged Cookies,Bakery,Processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Packaged Cookies is a bakery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
12,Chocolate Biscuits,Bakery,Processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Chocolate Biscuits is a bakery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
13,Cream Cookies,Bakery,Processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Cream Cookies is a bakery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
14,Sweetened Breakfast Cereal,Breakfast,Processed,6,2,1,3,33.33,16.67,50.0,"Diabetes, Obesity or Overweight, High Blood Pressure (Hypertension)",Avoid,Sweetened Breakfast Cereal is a breakfast item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
15,Chocolate Cereal,Breakfast,Processed,6,2,1,3,33.33,16.67,50.0,"Diabetes, Obesity or Overweight, High Blood Pressure (Hypertension)",Avoid,Chocolate Cereal is a breakfast item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
16,Granola Bar,Breakfast,Processed,6,2,1,3,33.33,16.67,50.0,"Diabetes, Obesity or Overweight, High Blood Pressure (Hypertension)",Avoid,Granola Bar is a breakfast item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
17,Protein Bar,Breakfast,Processed,6,2,1,3,33.33,16.67,50.0,"Diabetes, Obesity or Overweight, High Blood Pressure (Hypertension)",Avoid,Protein Bar is a breakfast item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
18,Fruit Yogurt,Dairy,Processed,6,2,2,2,33.33,33.33,33.33,"Diabetes, Obesity or Overweight, High Cholesterol, Lactose Intolerance",Caution,Fruit Yogurt is a dairy item with 33.33% of its listed ingredients marked as unhealthy in this prototype dataset.
19,Flavored Yogurt,Dairy,Processed,6,2,2,2,33.33,33.33,33.33,"Diabetes, Obesity or Overweight, High Cholesterol, Lactose Intolerance",Caution,Flavored Yogurt is a dairy item with 33.33% of its listed ingredients marked as unhealthy in this prototype dataset.
20,Processed Cheese Slices,Dairy,Processed,6,2,2,2,33.33,33.33,33.33,"Diabetes, Obesity or Overweight, High Cholesterol, Lactose Intolerance",Caution,Processed Cheese Slices is a dairy item with 33.33% of its listed ingredients marked as unhealthy in this prototype dataset.
21,Ice Cream Tub,Desserts,Processed,6,2,2,2,33.33,33.33,33.33,"Diabetes, Obesity or Overweight, High Cholesterol, Lactose Intolerance",Caution,Ice Cream Tub is a desserts item with 33.33% of its listed ingredients marked as unhealthy in this prototype dataset.
22,Chocolate Ice Cream Bar,Desserts,Processed,6,2,2,2,33.33,33.33,33.33,"Diabetes, Obesity or Overweight, High Cholesterol, Lactose Intolerance",Caution,Chocolate Ice Cream Bar is a desserts item with 33.33% of its listed ingredients marked as unhealthy in this prototype dataset.
23,Soft Drink Cola,Beverages,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"Diabetes, Obesity or Overweight, Caffeine Sensitivity, Children (Hyperactivity)",Avoid,Soft Drink Cola is a beverages item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
24,Orange Soda,Beverages,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"Diabetes, Obesity or Overweight, Caffeine Sensitivity, Children (Hyperactivity)",Avoid,Orange Soda is a beverages item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
25,Energy Drink,Beverages,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"Diabetes, Obesity or Overweight, Caffeine Sensitivity, Children (Hyperactivity)",Avoid,Energy Drink is a beverages item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
26,Sports Drink,Beverages,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"Diabetes, Obesity or Overweight, Caffeine Sensitivity, Children (Hyperactivity)",Avoid,Sports Drink is a beverages item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
27,Sweetened Iced Tea,Beverages,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"Diabetes, Obesity or Overweight, Caffeine Sensitivity, Children (Hyperactivity)",Avoid,Sweetened Iced Tea is a beverages item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
28,Packaged Fruit Juice,Beverages,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"Diabetes, Obesity or Overweight, Caffeine Sensitivity, Children (Hyperactivity)",Avoid,Packaged Fruit Juice is a beverages item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
29,Chocolate Milk Drink,Beverages,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"Diabetes, Obesity or Overweight, Caffeine Sensitivity, Children (Hyperactivity)",Avoid,Chocolate Milk Drink is a beverages item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
30,Instant Soup Mix,Ready Meals,Ultra-processed,6,1,1,4,16.67,16.67,66.67,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Diabetes",Avoid,Instant Soup Mix is a ready meals item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
31,Canned Tomato Soup,Canned Foods,Processed,6,1,1,4,16.67,16.67,66.67,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Diabetes",Avoid,Canned Tomato Soup is a canned foods item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
32,Canned Baked Beans,Canned Foods,Processed,6,1,1,4,16.67,16.67,66.67,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Diabetes",Avoid,Canned Baked Beans is a canned foods item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
33,Canned Sweet Corn,Canned Foods,Processed,6,1,1,4,16.67,16.67,66.67,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Diabetes",Avoid,Canned Sweet Corn is a canned foods item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
34,Canned Tuna in Oil,Canned Foods,Processed,6,0,4,2,0.0,66.67,33.33,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, High Cholesterol",Caution,Canned Tuna in Oil is a canned foods item with 33.33% of its listed ingredients marked as unhealthy in this prototype dataset.
35,Canned Chicken Sausage,Canned Foods,Processed,6,0,4,2,0.0,66.67,33.33,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, High Cholesterol",Caution,Canned Chicken Sausage is a canned foods item with 33.33% of its listed ingredients marked as unhealthy in this prototype dataset.
36,White Bread,Bakery,Processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,White Bread is a bakery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
37,Burger Buns,Bakery,Processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Burger Buns is a bakery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
38,Packaged Muffin,Bakery,Processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Packaged Muffin is a bakery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
39,Donut Pack,Bakery,Processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Donut Pack is a bakery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
40,Frozen Paratha,Frozen Foods,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Heart Disease, Obesity or Overweight, High Cholesterol",Avoid,Frozen Paratha is a frozen foods item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
41,Frozen Samosa,Frozen Foods,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Heart Disease, Obesity or Overweight, High Cholesterol",Avoid,Frozen Samosa is a frozen foods item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
42,Frozen Burger Patty,Frozen Foods,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Heart Disease, Obesity or Overweight, High Cholesterol",Avoid,Frozen Burger Patty is a frozen foods item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
43,Mayonnaise,Condiments,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Diabetes, Kidney Disease",Avoid,Mayonnaise is a condiments item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
44,Tomato Ketchup,Condiments,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Diabetes, Kidney Disease",Avoid,Tomato Ketchup is a condiments item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
45,Chili Sauce,Condiments,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Diabetes, Kidney Disease",Avoid,Chili Sauce is a condiments item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
46,Salad Dressing,Condiments,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Diabetes, Kidney Disease",Avoid,Salad Dressing is a condiments item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
47,Peanut Butter Spread,Spreads,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Diabetes, Kidney Disease",Avoid,Peanut Butter Spread is a spreads item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
48,Chocolate Spread,Spreads,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Diabetes, Kidney Disease",Avoid,Chocolate Spread is a spreads item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
49,Instant Oatmeal Flavored,Breakfast,Processed,6,2,1,3,33.33,16.67,50.0,"Diabetes, Obesity or Overweight, High Blood Pressure (Hypertension)",Avoid,Instant Oatmeal Flavored is a breakfast item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
50,Sweet Corn Flakes,Breakfast,Processed,6,2,1,3,33.33,16.67,50.0,"Diabetes, Obesity or Overweight, High Blood Pressure (Hypertension)",Avoid,Sweet Corn Flakes is a breakfast item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
51,Ready-to-eat Pasta,Ready Meals,Ultra-processed,6,1,1,4,16.67,16.67,66.67,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Diabetes",Avoid,Ready-to-eat Pasta is a ready meals item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
52,Mac and Cheese Box,Ready Meals,Ultra-processed,6,1,1,4,16.67,16.67,66.67,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Diabetes",Avoid,Mac and Cheese Box is a ready meals item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
53,Instant Upma Mix,Ready Meals,Ultra-processed,6,1,1,4,16.67,16.67,66.67,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Diabetes",Avoid,Instant Upma Mix is a ready meals item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
54,Instant Poha Mix,Ready Meals,Ultra-processed,6,1,1,4,16.67,16.67,66.67,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Diabetes",Avoid,Instant Poha Mix is a ready meals item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
55,Frozen Veg Momos,Frozen Foods,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Heart Disease, Obesity or Overweight, High Cholesterol",Avoid,Frozen Veg Momos is a frozen foods item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
56,Frozen Chicken Momos,Frozen Foods,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Heart Disease, Obesity or Overweight, High Cholesterol",Avoid,Frozen Chicken Momos is a frozen foods item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
57,Packaged Brownie,Bakery,Processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Packaged Brownie is a bakery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
58,Wafer Biscuits,Bakery,Processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Wafer Biscuits is a bakery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
59,Marshmallow Candy,Confectionery,Ultra-processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Marshmallow Candy is a confectionery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
60,Gummy Candy,Confectionery,Ultra-processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Gummy Candy is a confectionery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
61,Milk Chocolate Bar,Confectionery,Ultra-processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Milk Chocolate Bar is a confectionery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
62,Dark Chocolate Bar,Confectionery,Ultra-processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Dark Chocolate Bar is a confectionery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
63,Instant Coffee Premix,Beverages,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"Diabetes, Obesity or Overweight, Caffeine Sensitivity, Children (Hyperactivity)",Avoid,Instant Coffee Premix is a beverages item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
64,3-in-1 Coffee Mix,Beverages,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"Diabetes, Obesity or Overweight, Caffeine Sensitivity, Children (Hyperactivity)",Avoid,3-in-1 Coffee Mix is a beverages item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
65,Flavored Milkshake Bottle,Beverages,Ultra-processed,6,2,2,2,33.33,33.33,33.33,"Diabetes, Obesity or Overweight, High Cholesterol, Lactose Intolerance",Caution,Flavored Milkshake Bottle is a beverages item with 33.33% of its listed ingredients marked as unhealthy in this prototype dataset.
66,Ready-to-drink Cold Coffee,Beverages,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"Diabetes, Obesity or Overweight, Caffeine Sensitivity, Children (Hyperactivity)",Avoid,Ready-to-drink Cold Coffee is a beverages item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
67,Processed Paneer Cubes,Dairy,Processed,6,2,2,2,33.33,33.33,33.33,"Diabetes, Obesity or Overweight, High Cholesterol, Lactose Intolerance",Caution,Processed Paneer Cubes is a dairy item with 33.33% of its listed ingredients marked as unhealthy in this prototype dataset.
68,Flavored Soy Milk,Beverages,Ultra-processed,6,2,2,2,33.33,33.33,33.33,"Diabetes, Obesity or Overweight, High Cholesterol, Lactose Intolerance",Caution,Flavored Soy Milk is a beverages item with 33.33% of its listed ingredients marked as unhealthy in this prototype dataset.
69,Instant Idli Mix,Ready Meals,Ultra-processed,6,1,1,4,16.67,16.67,66.67,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Diabetes",Avoid,Instant Idli Mix is a ready meals item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
70,Instant Dosa Mix,Ready Meals,Ultra-processed,6,1,1,4,16.67,16.67,66.67,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Diabetes",Avoid,Instant Dosa Mix is a ready meals item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
71,Packaged Cupcake,Bakery,Processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Packaged Cupcake is a bakery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
72,Cheese Dip,Condiments,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Diabetes, Kidney Disease",Avoid,Cheese Dip is a condiments item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
73,Garlic Mayo Dip,Condiments,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Diabetes, Kidney Disease",Avoid,Garlic Mayo Dip is a condiments item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
74,BBQ Sauce,Condiments,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Diabetes, Kidney Disease",Avoid,BBQ Sauce is a condiments item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
75,Sweet Pickle Relish,Condiments,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Diabetes, Kidney Disease",Avoid,Sweet Pickle Relish is a condiments item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
